  0%|                                                                 | 0/500 [00:00<?, ?it/s]Passing `generation_config` together with generation-related arguments=({'disable_compile'}) is deprecated and will be removed in future versions. Please pass either a `generation_config` object OR all generation parameters explicitly, but not both.
                                                                                              
{'loss': '0.0001339', 'grad_norm': '0.1445', 'learning_rate': '9.54e-06', 'num_tokens': '1.036e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.375', 'rewards/reward_func/std': '0.02887', 'reward': '0.375', 'reward_std': '0.02887', 'frac_reward_zero_std': '0.5', 'kl': '0.003344', 'entropy': '1.671', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '53.28', 'epoch': '0.048'}
{'loss': '0.0001483', 'grad_norm': '0.00148', 'learning_rate': '9.5e-06', 'num_tokens': '1.106e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.35', 'rewards/reward_func/std': '0.1', 'reward': '0.35', 'reward_std': '0.1', 'frac_reward_zero_std': '0.5', 'kl': '0.003708', 'entropy': '1.744', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '52.73', 'epoch': '0.052'}
{'loss': '0.0001421', 'grad_norm': '0.001289', 'learning_rate': '9.46e-06', 'num_tokens': '1.182e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3875', 'rewards/reward_func/std': '0.025', 'reward': '0.3875', 'reward_std': '0.025', 'frac_reward_zero_std': '0.5', 'kl': '0.003556', 'entropy': '1.438', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '53.02', 'epoch': '0.056'}
{'loss': '0.0001658', 'grad_norm': '0.1631', 'learning_rate': '9.42e-06', 'num_tokens': '1.276e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.375', 'rewards/reward_func/std': '0.05', 'reward': '0.375', 'reward_std': '0.05', 'frac_reward_zero_std': '0', 'kl': '0.004149', 'entropy': '1.945', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '55.53', 'epoch': '0.06'}
{'loss': '0.0001433', 'grad_norm': '0.1406', 'learning_rate': '9.38e-06', 'num_tokens': '1.365e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.25', 'rewards/reward_func/std': '0.1457', 'reward': '0.25', 'reward_std': '0.1457', 'frac_reward_zero_std': '0', 'kl': '0.00358', 'entropy': '1.472', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.33', 'epoch': '0.064'}
{'loss': '0.0001831', 'grad_norm': '0.003159', 'learning_rate': '9.34e-06', 'num_tokens': '1.451e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.4', 'rewards/reward_func/std': '0', 'reward': '0.4', 'reward_std': '0', 'frac_reward_zero_std': '1', 'kl': '0.004578', 'entropy': '1.625', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '53.77', 'epoch': '0.068'}
{'loss': '0.0001634', 'grad_norm': '0.00174', 'learning_rate': '9.3e-06', 'num_tokens': '1.543e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.375', 'rewards/reward_func/std': '0.05', 'reward': '0.375', 'reward_std': '0.05', 'frac_reward_zero_std': '0.5', 'kl': '0.004082', 'entropy': '1.561', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '55.62', 'epoch': '0.072'}
{'loss': '0.0001915', 'grad_norm': '0.1562', 'learning_rate': '9.26e-06', 'num_tokens': '1.629e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3125', 'rewards/reward_func/std': '0.1031', 'reward': '0.3125', 'reward_std': '0.1031', 'frac_reward_zero_std': '0.5', 'kl': '0.004789', 'entropy': '2.13', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '55.35', 'epoch': '0.076'}
{'loss': '0.0001763', 'grad_norm': '0.1367', 'learning_rate': '9.22e-06', 'num_tokens': '1.725e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3375', 'rewards/reward_func/std': '0.125', 'reward': '0.3375', 'reward_std': '0.125', 'frac_reward_zero_std': '0', 'kl': '0.004409', 'entropy': '1.659', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '55.51', 'epoch': '0.08'}
{'loss': '-0.007878', 'grad_norm': '0.1406', 'learning_rate': '9.18e-06', 'num_tokens': '1.811e+05', 'completions/mean_length': '497.1', 'completions/min_length': '452.5', 'completions/max_length': '512', 'completions/clipped_ratio': '0.875', 'completions/mean_terminated_length': '196.5', 'completions/min_terminated_length': '196.5', 'completions/max_terminated_length': '196.5', 'rewards/reward_func/mean': '0.275', 'rewards/reward_func/std': '0.1957', 'reward': '0.275', 'reward_std': '0.1957', 'frac_reward_zero_std': '0', 'kl': '0.004316', 'entropy': '1.536', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.96', 'epoch': '0.084'}
{'loss': '0.0001999', 'grad_norm': '0.1553', 'learning_rate': '9.14e-06', 'num_tokens': '1.908e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3', 'rewards/reward_func/std': '0.1155', 'reward': '0.3', 'reward_std': '0.1155', 'frac_reward_zero_std': '0.5', 'kl': '0.004997', 'entropy': '1.691', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.6', 'epoch': '0.088'}
{'loss': '0.000186', 'grad_norm': '0.001556', 'learning_rate': '9.1e-06', 'num_tokens': '1.999e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.3625', 'rewards/reward_func/std': '0.04787', 'reward': '0.3625', 'reward_std': '0.04787', 'frac_reward_zero_std': '0.5', 'kl': '0.004652', 'entropy': '1.585', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '54.41', 'epoch': '0.092'}
{'loss': '0.0002092', 'grad_norm': '0.1445', 'learning_rate': '9.06e-06', 'num_tokens': '2.08e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.35', 'rewards/reward_func/std': '0.07887', 'reward': '0.35', 'reward_std': '0.07887', 'frac_reward_zero_std': '0', 'kl': '0.005224', 'entropy': '1.611', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '53.47', 'epoch': '0.096'}
{'loss': '0.0001944', 'grad_norm': '0.001411', 'learning_rate': '9.02e-06', 'num_tokens': '2.208e+05', 'completions/mean_length': '512', 'completions/min_length': '512', 'completions/max_length': '512', 'completions/clipped_ratio': '1', 'completions/mean_terminated_length': '0', 'completions/min_terminated_length': '0', 'completions/max_terminated_length': '0', 'rewards/reward_func/mean': '0.4', 'rewards/reward_func/std': '0', 'reward': '0.4', 'reward_std': '0', 'frac_reward_zero_std': '1', 'kl': '0.004861', 'entropy': '2.032', 'clip_ratio/low_mean': '0', 'clip_ratio/low_min': '0', 'clip_ratio/high_mean': '0', 'clip_ratio/high_max': '0', 'clip_ratio/region_mean': '0', 'step_time': '57.07', 'epoch': '0.1'}
